이주빈, 디시트렌드 여배우 투표 1위로 팬들의 사랑 듬뿍
[종합] '돌싱' 28기 영수, 결국 3표 인기남 됐다…'<b>한소희<\/b> 닮은꼴' 옥순...
배우 윤상정, 영화 ‘인턴’ 윤희 역 낙점
윤상정, 영화 ‘인턴’ 캐스팅…‘러블리 신스틸러’ 활약 예고
윤상정, 최민식 동기 된다…영화 ‘인턴’ 캐스팅 [공식]
윤상정, 최민식X김요한 '동기' 된다..영화 '인턴' 캐스팅[공식]
윤상정, 최민식·<b>한소희<\/b> 만난다…영화 '인턴' 합류
[디시트렌드] 이주빈, 감정 연기로 팬심 잡으며 여배우 투표 1위
윤상정, <b>한소희<\/b>·최민식 주연 '인턴' 캐스팅
윤상정, 영화 '인턴' 전격 합류..최민식·<b>한소희<\/b> 만난다 [공식]
